Provincia,Comunidad Autónoma,Código de CA,Codigo Provincia,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior
Albacete,Castilla - La Mancha,8,2,33973,1474,4416,6342,1542,8310,11889,3034,3827,2250,22255,2607
Alicante/Alacant,Comunitat Valenciana,10,3,148073,5508,22442,33610,4783,33313,48417,5258,22007,13078,98745,8985
Almería,Andalucía,1,4,54772,2080,9759,12057,2079,14521,14276,6432,2215,5429,35900,4796
Araba/Álava,País Vasco,16,1,18722,667,3485,4023,574,4920,5053,682,2436,1133,12071,2400
Asturias,"Asturias, Principado de",3,33,69957,2480,11997,16364,2145,16309,20662,1449,5963,5914,50105,6526
Badajoz,Extremadura,11,6,65644,2765,9431,12539,2907,17062,20940,7873,3660,5093,45661,3357
"Balears, Illes","Balears, Illes",4,7,61121,4311,12501,11118,3893,15862,13436,732,2423,5569,49909,2488
Barcelona,Cataluña,9,8,282332,10152,47636,65228,8465,62153,88698,2522,33570,21727,206164,18349
Bizkaia,País Vasco,16,48,65117,2273,12206,15329,2081,14840,18388,1207,7531,5597,42909,7873
Burgos,Castilla y León,7,9,18416,767,2967,4233,623,3931,5895,1205,2506,1340,12283,1082
Cantabria,Cantabria,6,39,36729,1407,6620,8561,1246,8661,10234,690,2971,3034,27283,2751
Castellón/Castelló,Comunitat Valenciana,10,12,37590,1813,5286,8007,1760,9308,11416,1433,4628,2817,25532,3180
Ceuta,Ceuta,18,51,11036,626,1937,1936,751,3128,2658,72,428,476,8055,2005
Ciudad Real,Castilla - La Mancha,8,13,47888,2105,6768,8633,2401,12927,15054,4972,4157,4544,30376,3839
"Coruña, A",Galicia,12,15,65747,1474,10690,16166,1511,15678,20228,1714,7221,6045,45340,5427
Cuenca,Castilla - La Mancha,8,16,12428,596,1782,2604,533,2892,4021,1465,1127,945,8018,873
Cáceres,Extremadura,11,10,35451,1669,5755,7930,1462,8767,9868,3103,2433,3972,24082,1861
Cádiz,Andalucía,1,11,148038,5906,24863,29810,5725,38502,43232,5648,9265,16223,98712,18190
Córdoba,Andalucía,1,14,66821,2797,10240,13886,3227,17566,19105,5722,6290,6199,41938,6672
Gipuzkoa,País Vasco,16,20,30323,1221,5344,6620,1063,7285,8790,620,4359,1565,20477,3302
Girona,Cataluña,9,17,37745,1719,6577,8798,1461,8521,10669,1171,3647,3332,27515,2080
Granada,Andalucía,1,18,79702,3409,13859,17251,3867,21690,19626,6193,4196,8659,52483,8171
Guadalajara,Castilla - La Mancha,8,19,14998,613,2285,3118,585,3900,4497,340,1134,1130,11507,887
Huelva,Andalucía,1,21,50344,2178,9075,10614,2060,12950,13467,10510,2591,4515,29286,3442
Huesca,Aragón,2,22,8295,468,1365,1661,418,2232,2151,699,779,623,5588,606
Jaén,Andalucía,1,23,41984,1438,5525,6801,2543,12794,12883,5017,3274,2517,26445,4731
León,Castilla y León,7,24,28583,1115,4891,6660,1012,6308,8597,1648,2860,2309,18848,2918
Lleida,Cataluña,9,25,20416,804,3512,4711,695,5207,5487,2413,1927,1627,13169,1280
Lugo,Galicia,12,27,16198,447,2758,4128,388,4192,4285,851,1159,1490,11306,1392
Madrid,"Madrid, Comunidad de",13,28,339332,13141,54848,75577,11934,79784,104048,2764,20981,28760,264563,22264
Melilla,Melilla,19,52,9627,639,1305,1663,833,2796,2391,73,142,593,6971,1848
Murcia,"Murcia, Región de",14,30,98941,4705,15019,19497,4837,25790,29093,6919,10784,8207,64120,8911
Málaga,Andalucía,1,29,148485,5943,24133,30790,5787,37635,44197,3481,6703,14979,108041,15281
Navarra,"Navarra, Comunidad Foral de",15,31,33198,1608,5840,6747,1376,8515,9112,1974,4678,1727,21998,2821
Ourense,Galicia,12,32,18359,542,2991,4630,471,4082,5643,1083,2173,1514,11868,1721
Palencia,Castilla y León,7,34,9008,507,1571,1976,365,2037,2552,641,977,552,5989,849
"Palmas, Las",Canarias,5,35,108178,3978,17402,25786,3503,23991,33518,1972,4250,10973,82233,8750
Pontevedra,Galicia,12,36,65004,1546,10916,15378,1273,15387,20504,2644,8026,5036,44465,4833
"Rioja, La","Rioja, La",17,26,16187,540,2595,3680,455,3657,5260,1578,3064,899,9784,862
Salamanca,Castilla y León,7,37,22082,1009,3223,5038,918,4812,7082,712,1397,1772,16045,2156
Santa Cruz de Tenerife,Canarias,5,38,100071,3410,16471,25207,3013,22177,29793,2765,3983,10521,74300,8502
Segovia,Castilla y León,7,40,6720,334,1099,1564,241,1609,1873,534,491,482,4705,508
Sevilla,Andalucía,1,41,187788,7907,31243,38226,7835,48031,54546,11389,12534,19056,125118,19691
Soria,Castilla y León,7,42,3671,192,578,899,158,884,960,293,468,236,2385,289
Tarragona,Cataluña,9,43,47631,1962,7805,10700,1907,11127,14130,2076,4431,3996,34354,2774
Teruel,Aragón,2,44,5640,328,881,1215,269,1413,1534,351,745,482,3645,417
Toledo,Castilla - La Mancha,8,45,61024,2545,8105,11660,2417,16154,20143,3522,6749,5419,40586,4748
Valencia/Valéncia,Comunitat Valenciana,10,46,171901,7187,25310,36940,6375,40293,55796,4989,21311,12243,123014,10344
Valladolid,Castilla y León,7,47,29123,1310,4464,6391,1173,6382,9403,2194,2827,1896,19322,2884
Zamora,Castilla y León,7,49,11007,452,1686,2911,367,2255,3336,857,850,1030,7391,879
Zaragoza,Aragón,2,50,50921,2302,7935,10567,2128,12342,15647,2708,6208,3276,34545,4184
Ávila,Castilla y León,7,5,11264,475,1655,2725,427,2546,3436,766,669,1221,7463,1145
