Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Censo electoral sin CERA;Censo CERA;Total censo electoral;Solicitudes voto CERA aceptadas;Total votantes CER;Total votantes CERA;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Andalucía                     ;4;Almería                       ;709,340;803;458,996;41,567;500,563;2,342;329,496;1,519;331,015;328,097;325,814;2,283;2,918;98,924;2;73,952;2;56,268;1;28,934;0;62,648;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,452;0;0;0;0;0;412;0;0;0;0;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;0;0;0;0;0;353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;11;Cádiz                         ;1,238,714;1,521;971,369;28,668;1,000,037;2,848;673,959;1,953;675,912;667,562;659,356;8,206;8,350;210,131;3;99,394;1;131,567;2;110,807;2;87,438;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,079;0;0;0;0;0;1,620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,284;0;2,224;0;0;0;0;0;0;0;0;0;0;0;812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;14;Córdoba                       ;785,240;913;630,660;18,130;648,790;1,934;479,366;1,407;480,773;473,716;468,961;4,755;7,057;163,000;2;89,203;1;79,978;1;70,427;1;56,919;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,946;0;0;0;0;0;756;0;0;0;0;0;0;0;0;0;469;0;0;0;426;0;0;0;0;0;1,233;0;0;0;0;0;788;0;0;0;0;0;816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;18;Granada                       ;912,075;1,101;703,501;49,490;752,991;3,889;528,968;2,584;531,552;523,843;520,115;3,728;7,709;177,478;3;96,588;1;90,935;1;71,466;1;73,914;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,804;0;0;0;0;0;630;0;0;0;0;0;0;0;0;0;624;0;0;0;391;0;0;0;779;0;0;0;0;0;0;0;0;0;0;0;0;0;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;0;0;0;0;0;0;0;0;0
Andalucía                     ;21;Huelva                        ;519,932;649;390,178;7,414;397,592;744;268,523;476;268,999;264,569;261,660;2,909;4,430;97,766;2;44,909;1;44,842;1;34,396;1;33,920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,182;0;0;0;0;0;646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856;0;871;0;0;0;0;0;0;0;0;0;0;0;272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;23;Jaén                          ;638,099;915;514,307;12,604;526,911;1,218;391,253;832;392,085;386,916;384,392;2,524;5,169;152,932;3;75,885;1;61,413;1;40,880;0;46,934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,369;0;0;0;0;0;401;0;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0
Andalucía                     ;29;Málaga                        ;1,641,121;1,660;1,138,388;53,453;1,191,841;4,691;823,234;3,240;826,474;816,868;809,580;7,288;9,606;251,908;4;144,562;2;159,316;2;118,537;2;114,199;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,122;0;0;0;0;0;1,769;0;0;0;0;0;0;0;0;0;1,046;0;0;0;631;0;0;0;1,655;0;0;0;0;0;0;0;0;0;0;0;0;0;835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andalucía                     ;41;Sevilla                       ;1,939,887;2,564;1,509,576;34,604;1,544,180;4,404;1,135,466;3,097;1,138,563;1,122,507;1,111,116;11,391;16,056;416,543;5;162,891;2;187,243;2;179,497;2;136,949;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,073;0;0;0;0;0;1,592;0;0;0;3,567;0;0;0;0;0;1,527;0;0;0;830;0;0;0;3,288;0;1,317;0;0;0;0;0;0;0;0;0;0;0;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;22;Huesca                        ;219,345;412;165,153;7,491;172,644;965;126,008;712;126,720;125,314;124,043;1,271;1,406;41,354;1;25,149;1;24,568;1;17,151;0;13,389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,013;0;0;0;0;0;284;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;216;0;0;0;474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;44;Teruel                        ;134,572;331;102,909;4,825;107,734;405;79,151;276;79,427;78,083;77,260;823;1,344;25,629;1;18,566;1;15,357;1;8,224;0;8,336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;452;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;28;0
